Objective Description,Course Number,Skill Tags
Apply multivariate statistical methods including principal component analysis,Math 377,systems_thinking|data_interpretation|mathematical_modeling|quantitative_reasoning
Demonstrate graduate-level mathematical reasoning through rigorous homework and exams,Math 377,logical_structure_analysis|argument_construction|quantitative_reasoning|accountability|resilience_under_adversity
Evaluate convergence in distribution vs convergence in probability with formal definitions,Math 377,logical_structure_analysis|quantitative_reasoning|precision_of_language|mathematical_modeling
Apply delta method to derive approximate distributions of transformed estimators,Math 377,mathematical_modeling|quantitative_estimation|logical_structure_analysis|quantitative_reasoning
Draw accurate free body diagrams and apply equilibrium equations to analyze structures and machines,Mech Engr 220,mathematical_modeling|visual_communication|logical_structure_analysis|quantitative_reasoning|solution_validation
Resolve forces and moments using vector algebra in two and three dimensions,Mech Engr 220,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Calculate internal forces stresses and strains in structural members under axial loads,Mech Engr 220,mathematical_modeling|solution_validation|quantitative_reasoning|quantitative_estimation
Analyze torsional loading in shafts and calculate resulting shear stress and angular deformation,Mech Engr 220,mathematical_modeling|quantitative_reasoning|solution_validation|data_interpretation
Analyze beams under flexural loading to determine bending stress and deflection,Mech Engr 220,mathematical_modeling|data_interpretation|quantitative_reasoning|visual_communication
Describe material properties including ductility stiffness and yield strength and their role in design,Mech Engr 220,design_iteration|trade_off_analysis|logical_structure_analysis|systems_thinking|technology_awareness
Select appropriate materials for aerospace structural applications based on properties and failure modes,Mech Engr 220,failure_mode_analysis|trade_off_analysis|decision_framing|requirements_analysis|systems_thinking
Conduct laboratory exercises to measure material properties and verify analytical predictions,Mech Engr 220,experimental_design|replication_and_reproducibility|data_interpretation|solution_validation|precision_of_language
Apply Mohr's circle to analyze combined stress states in structural members,Mech Engr 220,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|visual_communication
Analyze columns under compressive loading and apply Euler's buckling formula,Mech Engr 220,mathematical_modeling|solution_validation|failure_mode_analysis|quantitative_reasoning
Evaluate stress concentrations and their effect on structural failure in aerospace components,Mech Engr 220,failure_mode_analysis|systems_thinking|inference_calibration|data_interpretation|model_limitations
Apply fatigue analysis principles to estimate the service life of mechanical components,Mech Engr 220,failure_mode_analysis|quantitative_estimation|mathematical_modeling|systems_thinking|inference_calibration
Use finite element method concepts to interpret computational structural analysis results,Mech Engr 220,technology_awareness|data_interpretation|model_limitations|inference_calibration|systems_thinking
Analyze statically indeterminate structures using compatibility and superposition methods,Mech Engr 220,mathematical_modeling|logical_structure_analysis|quantitative_reasoning|systems_thinking
Apply fracture mechanics principles to evaluate crack propagation and material toughness,Mech Engr 220,failure_mode_analysis|mathematical_modeling|quantitative_reasoning|inference_calibration|systems_thinking
Communicate engineering analysis through clear technical reports and engineering drawings,Mech Engr 220,written_mechanics|visual_communication|precision_of_language|logical_organization|audience_adaptation
Identify how material choice geometry and load interact in real aerospace structural failures,Mech Engr 220,systems_thinking|failure_mode_analysis|interdisciplinary_transfer|logical_structure_analysis|data_interpretation
Apply thermodynamic principles to analyze thermally induced stresses in constrained structures,Mech Engr 220,mathematical_modeling|systems_thinking|interdisciplinary_transfer|quantitative_reasoning
Describe and apply kinematic equations to analyze motion in one and two dimensions,Physics 110,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Apply Newton's laws of motion to solve statics and dynamics problems using free body diagrams,Physics 110,mathematical_modeling|visual_communication|quantitative_reasoning|logical_structure_analysis
Apply the work-energy theorem and conservation of energy to solve mechanics problems,Physics 110,mathematical_modeling|logical_structure_analysis|quantitative_reasoning|solution_validation
Apply conservation of linear and angular momentum to analyze collisions and rotational systems,Physics 110,mathematical_modeling|quantitative_reasoning|solution_validation|systems_thinking
Explain gravitational theory and apply orbital mechanics to satellite and planetary motion,Physics 110,mathematical_modeling|systems_thinking|quantitative_reasoning|interdisciplinary_transfer
Analyze simple harmonic motion and wave phenomena including frequency amplitude and resonance,Physics 110,mathematical_modeling|data_interpretation|quantitative_reasoning|systems_thinking
Use vectors and calculus-based methods to solve multi-dimensional physics problems,Physics 110,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Design and conduct in-class laboratory investigations and analyze collected data,Physics 110,experimental_design|data_interpretation|hypothesis_formation|replication_and_reproducibility|design_iteration
Apply the scientific method to evaluate models and interpret physical phenomena,Physics 110,hypothesis_formation|evidence_evaluation|scientific_skepticism|model_limitations|nature_of_science
Apply the impulse-momentum theorem to analyze collisions and explosive decomposition,Physics 110,mathematical_modeling|quantitative_reasoning|solution_validation|interdisciplinary_transfer
Describe the physics of fluid mechanics including pressure buoyancy and flow,Physics 110,systems_thinking|quantitative_reasoning|mathematical_modeling|interdisciplinary_transfer
Explain the principles of thermodynamics including heat transfer and the laws of thermodynamics,Physics 110,interdisciplinary_transfer|quantitative_reasoning|systems_thinking|mathematical_modeling
Analyze electric charge distributions and apply Coulomb's law to simple charge configurations,Physics 110,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Explain the relationship between electric fields and electric potential,Physics 110,logical_structure_analysis|mathematical_modeling|inference_calibration|systems_thinking
Apply the physics of rotation to analyze gyroscopic and precession effects in aerospace systems,Physics 110,mathematical_modeling|systems_thinking|quantitative_reasoning|interdisciplinary_transfer
Use uncertainty analysis to assess the reliability of experimental measurements,Physics 110,uncertainty_tolerance|data_interpretation|inference_calibration|failure_mode_analysis|replication_and_reproducibility
Apply dimensional analysis to verify equations and develop scaling relationships,Physics 110,mathematical_modeling|quantitative_reasoning|precision_of_language|solution_validation
Communicate lab findings through structured technical reports,Physics 110,written_mechanics|logical_organization|data_interpretation|precision_of_language|audience_adaptation
Analyze electrostatic forces and fields using Coulomb's law and Gauss's law,Physics 215,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|systems_thinking
Analyze electric potential capacitance and energy storage in electric fields,Physics 215,mathematical_modeling|data_interpretation|quantitative_reasoning|systems_thinking
Apply Ohm's law and Kirchhoff's laws to analyze simple DC circuits,Physics 215,mathematical_modeling|solution_validation|quantitative_reasoning|logical_structure_analysis
Describe magnetic fields and forces on moving charges and current-carrying conductors,Physics 215,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|interdisciplinary_transfer
Explain electromagnetic induction and apply Faraday's and Lenz's laws,Physics 215,mathematical_modeling|logical_structure_analysis|quantitative_reasoning|inference_calibration
Characterize electromagnetic waves and their propagation properties,Physics 215,mathematical_modeling|systems_thinking|quantitative_reasoning|data_interpretation
Analyze physical optics phenomena including interference diffraction and polarization,Physics 215,mathematical_modeling|data_interpretation|quantitative_reasoning|experimental_design
Use vectors and calculus to solve electromagnetic problems and interpret results,Physics 215,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Conduct laboratory investigations in electricity magnetism and optics,Physics 215,experimental_design|replication_and_reproducibility|data_interpretation|solution_validation|precision_of_language
Apply Maxwell's equations in integral form to analyze electromagnetic boundary conditions,Physics 215,mathematical_modeling|logical_structure_analysis|quantitative_reasoning|systems_thinking
Explain the physics of lasers fiber optics and photonic systems,Physics 215,technology_awareness|systems_thinking|interdisciplinary_transfer|logical_structure_analysis
Describe the quantum mechanical basis of atomic structure and spectroscopy,Physics 215,nature_of_science|logical_structure_analysis|scientific_skepticism|model_limitations|interdisciplinary_transfer
Explain the photoelectric effect wave-particle duality and the Heisenberg uncertainty principle,Physics 215,uncertainty_tolerance|scientific_skepticism|nature_of_science|model_limitations|change_and_continuity
Apply concepts of special relativity to analyze high-speed particle behavior,Physics 215,mathematical_modeling|model_limitations|logical_structure_analysis|quantitative_reasoning
Describe the principles of nuclear physics including radioactive decay and fission,Physics 215,nature_of_science|quantitative_reasoning|threat_assessment|interdisciplinary_transfer|logical_structure_analysis
Design and interpret laboratory experiments in optics and electromagnetism,Physics 215,experimental_design|design_iteration|data_interpretation|hypothesis_formation|replication_and_reproducibility
Apply electromagnetic principles to explain the operation of antennas and waveguides,Physics 215,mathematical_modeling|systems_thinking|interdisciplinary_transfer|technology_awareness
Communicate experimental results and theoretical analysis in formal laboratory reports,Physics 215,written_mechanics|data_interpretation|logical_organization|precision_of_language|audience_adaptation
Describe the basic structure and function of cells organelles and biological macromolecules,Biology 215,nature_of_science|logical_structure_analysis|systems_thinking|interdisciplinary_transfer
Explain the principles of genetics including DNA replication transcription translation and inheritance,Biology 215,replication_and_reproducibility|logical_structure_analysis|nature_of_science|systems_thinking
Describe modern genetic engineering techniques and their applications in medicine and defense,Biology 215,technology_awareness|threat_assessment|interdisciplinary_transfer|professional_responsibility
Explain evolutionary theory and apply it to understand biological diversity and adaptation,Biology 215,change_and_continuity|scientific_skepticism|nature_of_science|logical_structure_analysis|systems_thinking
Describe ecosystem structure and function and explain principles of integrated global ecology,Biology 215,systems_thinking|global_interconnectedness|logical_structure_analysis|interdisciplinary_transfer
Analyze human health and performance from a biological systems perspective,Biology 215,systems_thinking|physical_and_mental_discipline|interdisciplinary_transfer|data_interpretation|logical_structure_analysis
Apply the scientific method to design and conduct biological laboratory investigations,Biology 215,experimental_design|hypothesis_formation|replication_and_reproducibility|design_iteration|data_interpretation
Interpret biological data and draw conclusions with appropriate acknowledgment of uncertainty,Biology 215,data_interpretation|uncertainty_tolerance|inference_calibration|logical_structure_analysis|scientific_skepticism
Analyze ethical issues raised by modern biological science and its applications to society,Biology 215,professional_responsibility|stakeholder_identification|ethical_theory_application|moral_reasoning|socio_economic_analysis
Explain the mechanisms of the immune system and their implications for biodefense,Biology 215,systems_thinking|threat_assessment|interdisciplinary_transfer|logical_structure_analysis
Describe the biology and epidemiology of major infectious diseases relevant to military operations,Biology 215,threat_assessment|historical_context|systems_thinking|global_interconnectedness|data_interpretation
Analyze the principles of toxicology and their application to chemical and biological threat assessment,Biology 215,threat_assessment|inference_calibration|quantitative_reasoning|logical_structure_analysis|data_interpretation
Explain the neurological and physiological effects of extreme environments on human performance,Biology 215,physical_and_mental_discipline|systems_thinking|interdisciplinary_transfer|logical_structure_analysis|data_interpretation
Describe the mechanisms and applications of CRISPR and other gene-editing technologies,Biology 215,technology_awareness|nature_of_science|logical_structure_analysis|interdisciplinary_transfer
Analyze biosecurity threats including bioterrorism agents and pandemic pathogens,Biology 215,threat_assessment|failure_mode_analysis|geopolitical_analysis|systems_thinking|historical_context
Apply ecological principles to assess environmental impacts of military operations,Biology 215,stakeholder_identification|systems_thinking|interdisciplinary_transfer|logical_structure_analysis|global_interconnectedness
Evaluate the ethical implications of dual-use biological research and gain-of-function studies,Biology 215,moral_reasoning|professional_responsibility|stakeholder_identification|ethical_theory_application|scientific_skepticism
Explain the biology of human performance optimization including sleep nutrition and physical training,Biology 215,physical_and_mental_discipline|interdisciplinary_transfer|systems_thinking|logical_structure_analysis
Describe the history of spaceflight and the evolution of space missions,Astr Engr 310,historical_context|narrative_and_meaning|change_and_continuity|technology_awareness|professional_identity
Explain the orbital mechanics of two-body motion and apply Kepler's laws,Astr Engr 310,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|systems_thinking
Calculate orbital parameters and perform orbital maneuver analysis including Hohmann transfers,Astr Engr 310,mathematical_modeling|quantitative_estimation|quantitative_reasoning|solution_validation
Describe the major subsystems of a spacecraft and explain their design drivers,Astr Engr 310,systems_thinking|design_iteration|requirements_analysis|trade_off_analysis
Explain launch vehicle operations and the physics of re-entry and recovery,Astr Engr 310,systems_thinking|quantitative_reasoning|mathematical_modeling|failure_mode_analysis
Apply the systems engineering process to accomplish preliminary mission design,Astr Engr 310,requirements_analysis|systems_thinking|design_iteration|trade_off_analysis|logical_organization
Use application-based software for orbital analysis and spacecraft visualization,Astr Engr 310,technology_awareness|visual_communication|quantitative_reasoning|data_interpretation
Communicate engineering analysis through written reports and technical presentations,Astr Engr 310,written_mechanics|oral_delivery|logical_organization|audience_adaptation|visual_communication
Explain principles of attitude determination and control for spacecraft,Astr Engr 310,mathematical_modeling|systems_thinking|quantitative_reasoning|logical_structure_analysis
Describe thermal control system design for space environments,Astr Engr 310,design_iteration|trade_off_analysis|systems_thinking|requirements_analysis|quantitative_reasoning
Analyze link budgets for space communication systems,Astr Engr 310,quantitative_reasoning|resource_and_logistics_reasoning|mathematical_modeling|systems_thinking
Explain the effects of the space environment on spacecraft materials and electronics,Astr Engr 310,failure_mode_analysis|systems_thinking|data_interpretation|technology_awareness
Describe propulsion systems used for orbital maneuvers and attitude control,Astr Engr 310,systems_thinking|trade_off_analysis|quantitative_reasoning|mathematical_modeling
Evaluate the lifecycle cost and schedule tradeoffs in spacecraft program planning,Astr Engr 310,trade_off_analysis|resource_stewardship|resource_and_logistics_reasoning|decision_framing|quantitative_estimation
Apply risk analysis methods to identify and mitigate mission failure modes,Astr Engr 310,failure_mode_analysis|requirements_analysis|quantitative_reasoning|decision_framing|systems_thinking
Describe the role of space systems in national security and joint warfighting,Astr Engr 310,strategic_thinking|alliance_and_coalition_dynamics|geopolitical_analysis|intelligence_literacy|systems_thinking
Explain international treaties norms and legal frameworks governing space operations,Astr Engr 310,law_of_armed_conflict|geopolitical_analysis|global_interconnectedness|historical_context|professional_responsibility
Demonstrate ability to work in an integrated product team to advance a mission design,Astr Engr 310,team_dynamics|commitment_to_service|organizational_design|interpersonal_influence|accountability
Explain the fundamental principles of fluid mechanics relevant to aeronautical applications,Aero Engr 315,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|systems_thinking
Apply aerodynamic theory including airfoil and wing aerodynamics to analyze lift and drag,Aero Engr 315,mathematical_modeling|systems_thinking|quantitative_reasoning|logical_structure_analysis
Analyze steady and accelerated aircraft performance including climb cruise turn and range,Aero Engr 315,mathematical_modeling|trade_off_analysis|quantitative_reasoning|data_interpretation|decision_framing
Explain aircraft static and dynamic stability and control principles,Aero Engr 315,systems_thinking|mathematical_modeling|logical_structure_analysis|quantitative_reasoning|inference_calibration
Apply a systematic top-down engineering design process to aircraft design problems,Aero Engr 315,requirements_analysis|design_iteration|systems_thinking|logical_organization|organizational_design
Synthesize economic political and non-technical considerations in aircraft design decisions,Aero Engr 315,trade_off_analysis|stakeholder_identification|socio_economic_analysis|decision_framing|systems_thinking
Evaluate competing design tradeoffs using quantitative analysis and engineering judgment,Aero Engr 315,trade_off_analysis|decision_framing|quantitative_reasoning|inference_calibration|logical_structure_analysis
Apply compressible flow equations to analyze high-speed aerodynamics and shock waves,Aero Engr 315,mathematical_modeling|quantitative_reasoning|systems_thinking|logical_structure_analysis
Explain propulsion system types and analyze thrust and fuel efficiency for different flight regimes,Aero Engr 315,systems_thinking|trade_off_analysis|quantitative_reasoning|mathematical_modeling|data_interpretation
Analyze the aeroelastic interaction between structural flexibility and aerodynamic loading,Aero Engr 315,systems_thinking|failure_mode_analysis|mathematical_modeling|logical_structure_analysis|inference_calibration
Describe human factors considerations in aircraft cockpit and system design,Aero Engr 315,design_iteration|stakeholder_identification|systems_thinking|logical_structure_analysis|requirements_analysis
Evaluate environmental and sustainability factors in aircraft design and operations,Aero Engr 315,stakeholder_identification|trade_off_analysis|systems_thinking|socio_economic_analysis|ethical_theory_application
Apply computational fluid dynamics concepts to interpret aerodynamic simulation results,Aero Engr 315,technology_awareness|data_interpretation|inference_calibration|model_limitations|systems_thinking
Describe the integration of avionics and flight control systems in modern aircraft,Aero Engr 315,systems_thinking|technology_awareness|logical_structure_analysis|interdisciplinary_transfer
Analyze survivability and vulnerability considerations in military aircraft design,Aero Engr 315,threat_assessment|design_iteration|failure_mode_analysis|trade_off_analysis|requirements_analysis
Communicate aircraft design analysis through a formal design review presentation,Aero Engr 315,oral_delivery|written_mechanics|visual_communication|logical_organization|audience_adaptation
Evaluate the implications of emerging propulsion technologies such as electric and hybrid systems,Aero Engr 315,inference_calibration|technology_awareness|trade_off_analysis|systems_thinking|change_and_continuity
Apply structural load analysis to determine aircraft structural sizing requirements,Aero Engr 315,mathematical_modeling|requirements_analysis|quantitative_reasoning|solution_validation|failure_mode_analysis
Represent and analyze signals in time and frequency domains,ECE 315,mathematical_modeling|data_interpretation|quantitative_reasoning|logical_structure_analysis|systems_thinking
Analyze analog and digital electronic circuits using fundamental circuit laws,ECE 315,mathematical_modeling|solution_validation|quantitative_reasoning|logical_structure_analysis
Describe the operation of radio-frequency systems including modulation transmission and reception,ECE 315,systems_thinking|technology_awareness|logical_structure_analysis|quantitative_reasoning|interdisciplinary_transfer
Explain the principles and operation of radar systems used in Air Force applications,ECE 315,systems_thinking|strategic_thinking|technology_awareness|mathematical_modeling|quantitative_reasoning
Describe electrical power generation distribution and storage systems,ECE 315,systems_thinking|quantitative_reasoning|mathematical_modeling|technology_awareness
Analyze digital networks and explain how data is transmitted and processed,ECE 315,systems_thinking|data_interpretation|logical_structure_analysis|mathematical_modeling|technology_awareness
Evaluate electronic warfare concepts including jamming and countermeasures,ECE 315,threat_assessment|trade_off_analysis|systems_thinking|geopolitical_analysis|intelligence_literacy
Apply engineering problem-solving methods to analyze Air Force electronic and cyber systems,ECE 315,requirements_analysis|systems_thinking|design_iteration|logical_structure_analysis|trade_off_analysis
Apply phasor analysis and impedance to analyze AC power circuits,ECE 315,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|solution_validation
Design and evaluate a complete electronic subsystem for an Air Force sensor application,ECE 315,design_iteration|trade_off_analysis|requirements_analysis|systems_thinking|solution_validation
Apply Fourier transform techniques to analyze signal spectra and bandwidth,ECE 315,mathematical_modeling|quantitative_reasoning|data_interpretation|logical_structure_analysis
Explain the principles of phased-array antennas and their military applications,ECE 315,systems_thinking|technology_awareness|strategic_thinking|mathematical_modeling|geopolitical_analysis
Describe GPS signal structure and analyze vulnerabilities to jamming and spoofing,ECE 315,failure_mode_analysis|threat_assessment|systems_thinking|technology_awareness|intelligence_literacy
Evaluate electromagnetic compatibility requirements for co-site interference mitigation,ECE 315,failure_mode_analysis|requirements_analysis|systems_thinking|solution_validation
Apply digital modulation analysis to assess communication link performance,ECE 315,mathematical_modeling|quantitative_reasoning|data_interpretation|systems_thinking
Demonstrate laboratory proficiency in RF signal generation measurement and analysis,ECE 315,experimental_design|data_interpretation|replication_and_reproducibility|precision_of_language|solution_validation
Communicate a subsystem design analysis through a formal engineering design review,ECE 315,oral_delivery|written_mechanics|visual_communication|audience_adaptation|logical_organization
Identify emerging directed-energy technologies and their operational implications,ECE 315,technology_awareness|inference_calibration|geopolitical_analysis|threat_assessment|strategic_thinking
Analyze resistive circuits using Ohm's law Kirchhoff's laws and network theorems,ECE 215,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|solution_validation
Describe power generation and storage systems and analyze basic power circuits,ECE 215,systems_thinking|quantitative_reasoning|mathematical_modeling|technology_awareness
Explain the fundamentals of signal processing including sampling filtering and Fourier analysis,ECE 215,mathematical_modeling|logical_structure_analysis|quantitative_reasoning|systems_thinking
Describe digital and analog communication systems and their Air Force applications,ECE 215,systems_thinking|technology_awareness|logical_structure_analysis|interdisciplinary_transfer
Explain the operation of radar systems and analyze basic radar performance parameters,ECE 215,systems_thinking|quantitative_reasoning|mathematical_modeling|technology_awareness
Describe jamming techniques and electronic warfare countermeasures,ECE 215,threat_assessment|trade_off_analysis|systems_thinking|intelligence_literacy|geopolitical_analysis
Apply circuit analysis and signal processing principles to solve Air Force electronic warfare problems,ECE 215,requirements_analysis|systems_thinking|mathematical_modeling|logical_structure_analysis|trade_off_analysis
Apply phasor analysis to analyze AC circuits in steady-state sinusoidal operation,ECE 215,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|solution_validation
Design and analyze simple RC RL and RLC filter circuits and predict their frequency response,ECE 215,design_iteration|mathematical_modeling|quantitative_reasoning|systems_thinking|solution_validation
Explain the operation of diodes transistors and basic amplifier circuits,ECE 215,logical_structure_analysis|technology_awareness|mathematical_modeling|systems_thinking
Apply Thevenin and Norton equivalent circuit theorems to simplify complex networks,ECE 215,mathematical_modeling|logical_structure_analysis|quantitative_reasoning|systems_thinking
Describe the principles and applications of analog-to-digital and digital-to-analog conversion,ECE 215,systems_thinking|technology_awareness|mathematical_modeling|logical_structure_analysis
Analyze the impact of noise on electronic system performance and apply mitigation strategies,ECE 215,failure_mode_analysis|systems_thinking|quantitative_reasoning|data_interpretation|mathematical_modeling
Demonstrate laboratory skills by building testing and troubleshooting electronic circuits,ECE 215,experimental_design|solution_validation|replication_and_reproducibility|failure_mode_analysis|data_interpretation
Communicate circuit design and analysis results through formal technical reports,ECE 215,written_mechanics|data_interpretation|logical_organization|precision_of_language|visual_communication
Evaluate emerging electronic technologies and their potential Air Force applications,ECE 215,inference_calibration|technology_awareness|strategic_thinking|interdisciplinary_transfer
Apply simulation tools to model and verify electronic circuit behavior,ECE 215,mathematical_modeling|replication_and_reproducibility|solution_validation|technology_awareness
Describe the electromagnetic compatibility requirements and test methods for military electronics,ECE 215,requirements_analysis|failure_mode_analysis|systems_thinking|solution_validation|technology_awareness
Describe and compare major normative ethical theories including consequentialism deontology and virtue ethics,Philos 210,ethical_theory_application|moral_reasoning|logical_structure_analysis|perspective_taking|assumption_identification
Apply ethical theories to analyze and evaluate contemporary moral problems and dilemmas,Philos 210,moral_reasoning|logical_structure_analysis|ethical_theory_application|evidence_evaluation|inference_calibration
Evaluate ethical dimensions of the profession of arms and the responsibilities of military officers,Philos 210,professional_responsibility|oath_and_obligation|moral_reasoning|professional_identity|values_clarification
Reason through the ethics of war including principles of just war theory,Philos 210,law_of_armed_conflict|moral_reasoning|ethical_theory_application|logical_structure_analysis|historical_context
Identify and navigate the civic and international contexts in which the U.S. military operates ethically,Philos 210,geopolitical_analysis|civil_military_relations|moral_reasoning|global_interconnectedness|stakeholder_identification
Recognize how social cultural and institutional factors shape ethical judgment and behavior,Philos 210,social_structures|cross_cultural_ethics|moral_reasoning|human_nature_inquiry|identity_and_diversity
Cultivate the virtues of integrity service before self and excellence as habits of character,Philos 210,core_values_internalization|integrity_and_honesty|commitment_to_service|values_clarification|professional_identity
Construct well-reasoned ethical arguments and evaluate the arguments of others,Philos 210,argument_construction|logical_structure_analysis|evidence_evaluation|moral_reasoning|ethical_theory_application
Explain metaethical positions including moral realism relativism and constructivism,Philos 210,moral_reasoning|assumption_identification|logical_structure_analysis|perspective_taking|human_nature_inquiry
Analyze the ethics of leadership command responsibility and superior orders,Philos 210,moral_reasoning|civil_military_relations|professional_responsibility|ethical_theory_application|accountability
Apply philosophical reasoning to emerging ethical challenges posed by autonomous weapons and AI,Philos 210,ethical_theory_application|uncertainty_tolerance|logical_structure_analysis|moral_reasoning|technology_awareness
Describe the relationship between law morality and military necessity in armed conflict,Philos 210,law_of_armed_conflict|moral_reasoning|logical_structure_analysis|professional_responsibility|historical_context
Evaluate case studies in military ethics including historical atrocities and whistleblowing,Philos 210,moral_courage|historical_context|moral_reasoning|ethical_theory_application|evidence_evaluation
Engage with diverse philosophical traditions including non-Western ethical frameworks,Philos 210,cross_cultural_ethics|perspective_taking|cultural_literacy|moral_reasoning|assumption_identification
Apply philosophical methods to personal decision-making and officer development,Philos 210,self_leadership|values_clarification|decision_framing|metacognitive_awareness|professional_identity
Explain the connection between professional virtue ethics and institutional culture,Philos 210,professional_identity|core_values_internalization|moral_reasoning|organizational_design|cultural_literacy
Construct a personal ethical framework by integrating course content with lived experience,Philos 210,self_leadership|ethical_theory_application|values_clarification|metacognitive_awareness|integrity_and_honesty
Evaluate competing moral claims about civil-military relations and democratic accountability,Philos 210,civil_military_relations|accountability|moral_reasoning|argument_construction|evidence_evaluation
Explain the theoretical foundations and traditions of American democracy and constitutional government,Pol Sci 211,cultural_literacy|historical_context|social_structures|civil_military_relations|narrative_and_meaning
Describe the structure powers and interrelationships of the three branches of the U.S. government,Pol Sci 211,organizational_design|social_structures|logical_structure_analysis|systems_thinking|historical_context
Analyze how policy is made within the American political system and explain key decision-making processes,Pol Sci 211,decision_framing|systems_thinking|organizational_design|stakeholder_identification|logical_structure_analysis
Explain the development of U.S. national security strategy and its constitutional foundations,Pol Sci 211,strategic_thinking|historical_context|civil_military_relations|geopolitical_analysis|logical_structure_analysis
Describe the nature and history of civil-military relations in the American republic,Pol Sci 211,civil_military_relations|historical_context|narrative_and_meaning|social_structures|change_and_continuity
Analyze the role of the military within the American political system and democratic accountability,Pol Sci 211,civil_military_relations|accountability|social_structures|systems_thinking|logical_structure_analysis
Explain how domestic politics and institutional structure shape national security policy outcomes,Pol Sci 211,social_structures|organizational_design|systems_thinking|geopolitical_analysis|logical_structure_analysis
Explain the role of political parties interest groups and media in shaping U.S. defense policy,Pol Sci 211,social_structures|stakeholder_identification|geopolitical_analysis|systems_thinking|civil_military_relations
Describe the legislative process for defense authorization and appropriations,Pol Sci 211,organizational_design|resource_and_logistics_reasoning|systems_thinking|logical_structure_analysis|civil_military_relations
Analyze the constitutional powers of the commander in chief and their limits,Pol Sci 211,civil_military_relations|rights_and_duties|logical_structure_analysis|historical_context|social_structures
Explain the role of the National Security Council and interagency process in policy coordination,Pol Sci 211,organizational_design|alliance_and_coalition_dynamics|systems_thinking|decision_framing|strategic_thinking
Evaluate the influence of public opinion media and think tanks on national security decision-making,Pol Sci 211,geopolitical_analysis|social_structures|stakeholder_identification|evidence_evaluation|bias_recognition
Describe the constitutional and legal frameworks governing the use of military force,Pol Sci 211,law_of_armed_conflict|civil_military_relations|rights_and_duties|historical_context|logical_structure_analysis
Apply theories of democratic governance to evaluate civil-military challenges in comparative context,Pol Sci 211,civil_military_relations|logical_structure_analysis|perspective_taking|historical_context|evidence_evaluation
Analyze the role of international organizations and alliances in U.S. security policy,Pol Sci 211,alliance_and_coalition_dynamics|geopolitical_analysis|global_interconnectedness|logical_organization|strategic_thinking
Evaluate the historical development of executive war powers and their contemporary implications,Pol Sci 211,historical_context|civil_military_relations|change_and_continuity|inference_calibration|logical_structure_analysis
Describe federalism and its implications for domestic military operations and National Guard employment,Pol Sci 211,organizational_design|civil_military_relations|systems_thinking|logical_structure_analysis|historical_context
Construct a policy brief on a national security issue drawing on political science frameworks,Pol Sci 211,argument_construction|decision_framing|inference_calibration|written_mechanics|logical_organization
Explain major theories of the causes of war and conditions for international peace,Soc Sci 311,geopolitical_analysis|logical_structure_analysis|evidence_evaluation|historical_context|systems_thinking
Describe the instruments of national power and how they are integrated to accomplish national objectives,Soc Sci 311,strategic_thinking|requirements_analysis|systems_thinking|interdisciplinary_transfer|geopolitical_analysis
Apply Clausewitzian theory to analyze the relationship between politics and the use of military force,Soc Sci 311,strategic_thinking|evidence_evaluation|logical_structure_analysis|historical_context|geopolitical_analysis
Analyze the dynamics of great power competition and current U.S. defense priorities,Soc Sci 311,geopolitical_analysis|threat_assessment|strategic_thinking|deterrence_theory|global_interconnectedness
Integrate political legal economic and military factors in strategic analysis of conflicts,Soc Sci 311,strategic_thinking|intelligence_literacy|interdisciplinary_transfer|systems_thinking|logical_structure_analysis
Evaluate U.S. foreign and national security policy through thematic and case-study analysis,Soc Sci 311,evidence_evaluation|geopolitical_analysis|inference_calibration|historical_context|logical_structure_analysis
Construct and defend informed strategic analysis using evidence from multiple disciplines,Soc Sci 311,argument_construction|strategic_thinking|evidence_evaluation|interdisciplinary_transfer|logical_organization
Explain the role of non-state actors terrorism and irregular warfare in contemporary security,Soc Sci 311,geopolitical_analysis|threat_assessment|systems_thinking|historical_context|failure_mode_analysis
Describe key elements of U.S. defense policy including NDS NMS and ODNI frameworks,Soc Sci 311,strategic_thinking|decision_framing|organizational_design|geopolitical_analysis|intelligence_literacy
Apply deterrence theory to evaluate current U.S. approaches to great power competition,Soc Sci 311,deterrence_theory|geopolitical_analysis|strategic_thinking|evidence_evaluation|logical_structure_analysis
Analyze the role of economic instruments of national power in coercive and cooperative strategies,Soc Sci 311,socio_economic_analysis|strategic_thinking|geopolitical_analysis|systems_thinking|historical_context
Evaluate the legal and ethical constraints on the use of force under international law,Soc Sci 311,law_of_armed_conflict|moral_reasoning|geopolitical_analysis|professional_responsibility|ethical_theory_application
